SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
60,DC3,2021-03-31,1899-12-31 13:53:00,1084.571947,NA,NA,4.88,NA,9.32018701270528e-09,2.277666422,NA,NA,2021-03-31 13:53,2021-03-31,2021-03-31,31-Mar,NA,2,,DC3 2021-03-31
60,DC3,2021-04-20,1899-12-31 16:47:00,1144.209676,NA,NA,4.72,NA,9.8326793272929e-09,2.402909246,NA,NA,2021-04-20 16:47,2021-04-20,2021-04-20,20-Apr,NA,2,,DC3 2021-04-20
60,DC3,2024-01-09,1899-12-31 14:37:00,1047,0.91,NA,5.88,1.929259608,8.99731532706423e-09,2.19876307,NA,NA,2024-01-09 14:37,2024-01-09,2024-01-09,09-Jan,NA,2,,DC3 2024-01-09
60,DC3,2021-03-17,1899-12-31 13:10:00,1201.368863,NA,NA,5.22,NA,1.03238724822612e-08,2.522946982,NA,NA,2021-03-17 13:10,2021-03-17,2021-03-17,17-Mar,NA,2,,DC3 2021-03-17
60,DC3,2021-09-13,1899-12-31 09:35:00,948.0165326,2.456522082,NA,4.86,5.207987724,8.14670838512477e-09,1.990891826,NA,NA,2021-09-13 09:35,2021-09-13,2021-09-13,13-Sep,8.6948125,8.6948125,,DC3 2021-09-13
60,DC3,2025-01-21,1899-12-31 13:09:00,1046,2.86,NA,5.72,6.06338734,8.98872190268308e-09,2.19666301,NA,NA,2025-01-21 13:09,2025-01-21,2025-01-21,21-Jan,NA,2,,DC3 2025-01-21
60,DC3,2021-05-10,NA,543.8887182,NA,NA,4.91,NA,4.67386657160759e-09,1.142199071,NA,NA,2021-05-10,2021-05-10,2021-05-10,10-May,2.792145833,2.792145833,,DC3 2021-05-10
60,DC3,2022-07-05,1899-12-31 11:27:00,640,6.74,NA,5.32,14.28924149,5.49979160393611e-09,1.344038553,NA,NA,2022-07-05 11:27,2022-07-05,2022-07-05,05-Jul,16.57322917,16.57322917,,DC3 2022-07-05
60,DC3,2021-08-18,1899-12-31 11:52:00,1177.291799,1.687999242,NA,4.39,3.578668963,1.01169680527764e-08,2.472383697,NA,NA,2021-08-18 11:52,2021-08-18,2021-08-18,18-Aug,12.859375,12.859375,,DC3 2021-08-18
60,DC3,2020-08-24,NA,1316.382224,3.646747181,NA,5.18,7.731342898,1.13122310970783e-08,2.764481967,NA,NA,2020-08-24,2020-08-24,2020-08-24,24-Aug,9.710770833,9.710770833,,DC3 2020-08-24
60,DC3,2020-08-10,NA,1311.308275,1.792532495,NA,5.01,3.800286306,1.12686284987591e-08,2.753826368,NA,NA,2020-08-10,2020-08-10,2020-08-10,10-Aug,14.09395833,14.09395833,,DC3 2020-08-10
60,DC3,2020-11-18,1899-12-31 13:02:00,974.7946832,NA,NA,4.67,NA,8.37682439745647e-09,2.047127555,NA,NA,2020-11-18 13:02,2020-11-18,2020-11-18,18-Nov,NA,2,,DC3 2020-11-18
60,DC3,2023-09-14,NA,833,6.15,NA,5.58,13.03840285,7.1583225094981e-09,1.749350179,NA,NA,2023-09-14,2023-09-14,2023-09-14,14-Sep,7.389052083,7.389052083,,DC3 2023-09-14
60,DC3,2022-02-09,1899-12-31 12:17:00,694,NA,NA,5.61,NA,5.96383652051822e-09,1.457441806,NA,NA,2022-02-09 12:17,2022-02-09,2022-02-09,09-Feb,NA,2,,DC3 2022-02-09
60,DC3,2019-10-10,NA,436.3968557,NA,NA,5.04,NA,3.75014337996702e-09,0.916459685,NA,NA,2019-10-10,2019-10-10,2019-10-10,10-Oct,8.235833333,8.235833333,,DC3 2019-10-10
